header,author,publish_date,category,summary,text
,,,,,
Georgian PM Kobakhidze rejects Russian influence and embraces Europe ahead of elections,Jane Witherspoon,"25/10/2024,11:08 GMT+218:50",Georgia,"In an in-depth interview with Euronews, Georgia's PM Irakli Kobakhidze emphasizes the upcoming elections as crucial for EU integration and distancing from Russian influence, amid economic growth and political polarisation.","Georgia's Prime Minister Irakli Kobakhidze leaves the impression of a relaxed, yet composed and focused man. No big entourage in tow for our interview, he readily chatted about football, remembering a moment of pride over domestic legend Temur Ketsbaia, a former Newcastle United player, and pointing out there's a new, rising star at the same club. At the same time, Kobakhidze clearly knows what is at stake for his country in the upcoming parliamentary elections on Sunday — a pivotal, high-velocity moment as the outcome could potentially shape the nation’s future integration within the EU and its movement away from Russian influence. The political landscape in Georgia has become increasingly polarised, with opinion polls continuing to present unreliable and contradictory forecasts. This was particularly palpable in Tbilisi, where a big political rally was taking place on the same day as our interview: the roads were all being closed and stages set for the evening, as thousands were expected in the streets of the capital. While the ruling Georgian Dream party is framing the vote as a choice between ""peace and war"", opposition parties see the election as a battle between the democratic West and authoritarian Russia. Euronews spoke with Kobakhidze in an in-depth interview about the importance of the elections, given the backdrop of European Union accession talks and questions over Russian influences. Euronews: For you, as a young prime minister, what do you see as the future of Georgia? Irakli Kobakhidze: We are anticipating really crucial elections for Georgia. We are enjoying quite rapid development in our country, but there are still challenges. We are saying very directly and very explicitly that this election is also a referendum about the war and the peace issue. The Georgian Dream government, we believe, is the strongest guarantee for peace in this country, but it's also about the development of the country. Over the last two and a half years, we have enjoyed almost double-digit economic growth, and we had the highest growth not only in the region but also in Europe. The average economic growth in Georgia was around 9.7% in 2021, 2022 and 2023. And also this year's preliminary figure is 10% economic growth. So for us, keeping this trend is very important. We know that without proper economic figures Georgia will never be accepted as a member, a fully-fledged member, of the European Union. Euronews: What is the level of dialogue then with the EU in terms of your EU membership and what is the next stage of that for Georgia? Kobakhidze: Unfortunately, we are facing some challenges in terms of dialogue at the moment, but in general, if we summarise the outcomes of our policies, the Georgian Dream government has managed to achieve all the important steps towards European integration. We managed to sign the Association Agreement with the European Union back in 2014. We managed to sign the DCT with the European Union. We got the visa-free regime for our citizens. And finally the Georgian Dream government managed to get candidate status for Georgia. We strongly believe that as soon as these elections are over and as soon as the war in Ukraine is over, we will essentially improve and restart relations between Georgia and the EU and also between Georgia and the US. Euronews: As a Georgian, what does Europe mean to you, and what would it mean to be part of that club that is seen as the European Union? Kobakhidze: To be part of the European family is a kind of historic choice for Georgia and for Georgians. You know that we are a Christian nation and Europe was always associated with Christianity. It was defending it, protecting Christianity for Georgia. So that's why Europe was always a kind of natural choice for Georgia and for Georgians. And that is one of the, or the strongest reason, why we want to be a fully-fledged member of the European family. [Being in] Europe also means a higher level of prosperity which means development for Georgians. So that's why we are very much committed to this foreign policy priority of Georgia. Euronews: Are you pro-Russian or anti-European? Can you put it to rest once and for all for us? Kobakhidze: We are clearly pro-European as a government, and we have evidenced it by our actions. And again, there are very specific actions through which we have managed to move the country towards the EU. That's why there is no space for these kinds of manipulations from the opposition. That's their choice. That's their job. That's part of democracy. We will continue to do everything to promote Georgia's EU accession in the future. Euronews: As well as talking obviously, to the EU, which you all clearly are doing, you speak to governments all around the world. When was the last time you spoke to the Kremlin? Kobakhidze: We have no diplomatic relations with Russia. Georgia is maybe the only country in the region which has no diplomatic relations with Russia. And we have communication with our western partners in Europe and the US. That's the current state of affairs. Euronews: Well, this week, again, we've seen elections in other countries, and in particular Moldova, there was a lot of controversy in terms of Russia's involvement in the political process there. Will we see anything like that come here to Georgia? Kobakhidze: I can say that Russia is not influential in Georgia. There are no political parties in which they would have influence. There are no media channels with their influence. So that's why the Russian side cannot influence the elections in Georgia. Euronews: Looking in, it seems that you're matching certain Kremlin narratives in terms of some of the policies and laws that are being introduced here, such as the ""foreign agents"" and LGBTQ+ laws. Is that something that you would say is following in their footsteps? Kobakhidze: These are the decisions made by the Georgian government. And these decisions have nothing to do with the decisions made by the Russian government. We have introduced the Transparency Law, and the content of this law has nothing to do with the content of the Russian law about NGOs, its only about transparency. The other thing which is envisaged by this law is to ensure that the NGOs are publicising their annual financial declarations to the Minister of Justice, and that's it. There are no restrictions. That's why this messaging about the Russian law was completely fake. And the laws about LGBTI, that's also our national decision. Euronews: When it comes to war in Ukraine, there seems to have been a shift in tone. Is Georgia seeing this as an opportunity to have its independent voice heard? And if there is an opportunity there, what is it for you? Kobakhidze: Well, in general, we are strongly supporting Ukraine's sovereignty and territorial integrity, and we have condemned the Russian military aggression many times. We have joined more than 600 international acts in support of the sovereignty and territorial integrity of Ukraine and condemning the Russian military aggression. So that's why we can say very firmly that our position with regard to the ongoing war in Ukraine is very strong. And of course, this position is based on international law standards. Euronews: Any war brings with it horrors that we see happening in Ukraine, and Georgia lost territories throughout history. How did that shape you as a person and a politician in terms of your policies throughout your career? Kobakhidze: We have a very complicated history, especially over the last 30 years since the collapse of the Soviet Union. But we have also learned a lot. And this experience is something that has helped us to avoid many problems over the last decade. And for me, as a politician, this experience is very useful and very important. Euronews: What does that mean for a country like Georgia that is surrounded by war? Kobakhidze: It puts us in a very complicated situation, of course. But again, despite all these challenges, we have managed to keep peace in the country. Euronews: How do you react to Western sanctions against Russia and what impact do they have on the region? Kobakhidze: The opposition was very much pushing us to join these sanctions, but we made a different decision and I can explain it very easily. The share of Georgian trade and the entire Russian trade is 0.3%. Of course, Georgia can not damage the Russian economy by introducing economic sanctions. At the same time, introducing sanctions would mean the escalation of the conflict. So that's why we had very strong grounds for not following the opposition's demand. But again, we are also doing our best not to let anybody to use Georgian territory to avoid the sanctions. Euronews: Let's talk trade and energy security, which is very important for this area. Where does Georgia play into that? The strategic location is crucial for Georgia, isn't it? Kobakhidze: Strengthening Georgia's connectivity is a key task for us, especially under the new geopolitical circumstances. For example, we have a very important strategic project which connects us with Azerbaijan and Turkiye. The Black Sea underwater electricity cable and the Internet cable projects will connect Georgia with the European market. And we are also investing a lot into the development of infrastructure. We have managed to build around 300 kilometres of highways in Georgia and now we have ordered the construction of a new port on the Black Sea. We are also constructing a new Tbilisi international airport and we are expanding the capacities of the Kutaisi International Airport."
Israel launches wave of retaliatory airstrikes against its enemy Iran,Euronews                      with AP,"26/10/2024,1:45 GMT+217:24",Iran,"Iran’s military said the strikes targeted military bases in Ilam, Khuzestan and Tehran provinces and caused 'limited damage,' without elaborating.","Israel attacked Iran with a series of pre-dawn airstrikes on Saturday in what it said was a response to the barrage of ballistic missiles the Islamic Republic fired upon Israel earlier in the month. The Israeli military said its aircraft targeted facilities that Iran used to make missiles fired at Israel as well as surface-to-air missile sites. There was no immediate indication that oil or missile sites were hit — strikes that would have marked a much more serious escalation — and Israel offered no immediate damage assessment. Explosions could be heard in the Iranian capital, Tehran, though the Islamic Republic insisted they caused only “limited damage” and Iranian state-run media downplayed the attacks. The Iranian army said four soldiers were killed in Israeli strikes. It is possible that the number of dead may be higher as Iran seeks to downplay the attacks. The strikes risk pushing the arch-enemies closer to all-out war at a time of spiralling violence across the Middle East, where militant groups backed by Iran — including Hamas in Gaza and Hezbollah in Lebanon — are already at war with Israel. “Iran attacked Israel twice, including in locations that endangered civilians, and has paid the price for it,” said Israeli military spokesperson Rear Adm. Daniel Hagari in a video statement. “We are focused on our war objectives in the Gaza Strip and Lebanon. It is Iran that continues to push for a wider regional escalation.” The strikes marked the first time Israel's military has openly attacked Iran, which hasn't faced a sustained barrage of fire from a foreign enemy since its 1980s war with Iraq. It came as part of Israel's “duty to respond” to attacks on it from “Iran and its proxies in the region,” Hagari said. “The Israel Defence Forces has fulfilled its mission,” Hagari said. “If the regime in Iran were to make the mistake of beginning a new round of escalation, we will be obligated to respond.” Israel offered no initial damage assessment. Iran’s state-run media acknowledged blasts that could be heard in Tehran and said some of the sounds came from air defence systems around the city. But beyond a brief reference, Iranian state television for hours offered no other details and even began showing what it described as live footage of men loading trucks at a vegetable market in Tehran in an apparent attempt to downplay the assault. A Tehran resident told The Associated Press that at least seven explosions could be heard in the first wave of attacks, which rattled the surrounding area. The resident spoke on condition of anonymity for fear of reprisals. As explosions sounded, people in Tehran could see what appeared to be tracer fire light up the sky. Other footage showed what appeared to be surface-to-air missiles being launched. Iran closed the country’s airspace early on Saturday, and flight-tracking data analysed by AP showed commercial airlines had broadly left the skies over Iran, and across Iraq, Syria and Lebanon. Iran's move to quickly downplay the attack may offer an avenue for it not to respond, which could risk a further escalation. Meanwhile, in seemingly unrelated violence, an attack on an Iranian police convoy on Saturday in the country's restive southern province of Sistan and Baluchestan killed at least 10 officers, authorities said. Details remain scarce over the attack in Gohar Kuh, some 1,200 kilometres southeast of the Iranian capital, Tehran. Initially, reports simply described an attack by “miscreants” without more information. But shortly after, Iranian state media said 10 officers had been killed. The White House indicated that Israel’s strikes on Iran should end the direct exchange of fire between the two enemy countries, while warning Tehran of “consequences” should it respond. A senior White House official said the administration believed the Israeli operation should “close out” the direct military exchange between Israel and Iran, and said other allies were in agreement. United States President Joe Biden was updated throughout Israel's operation, the official said, while underscoring that the U.S. had no involvement in the attack. The official, who briefed reporters on the condition of anonymity under ground rules set by the White House, said the Israeli operation “was extensive, it was targeted, it was precise.” U.S. Defence Secretary Lloyd Austin spoke with his Israeli counterpart, Yoav Gallant, about Israel’s strikes on military targets in Iran, Maj. Gen. Pat Ryder said late Friday. Austin reiterated that the U.S. was committed to its ally’s security and that Israel has a right to defend itself, though Washington was determined to prevent the conflict from expanding, the Pentagon press secretary said in a statement. Israel and Iran have been bitter foes since the 1979 Islamic Revolution. Israel considers Iran to be its greatest threat, citing its leaders’ calls for Israel’s destruction, their support for anti-Israel militant groups and the country’s nuclear programme. During their years-long shadow war, a suspected Israeli assassination campaign has killed top Iranian nuclear scientists and Iranian nuclear installations have been hacked or sabotaged, all in mysterious attacks blamed on Israel. Meanwhile, Iran has been blamed for a series of attacks on shipping in the Middle East in recent years, which later grew into the attacks by Yemen’s Houthi rebels on shipping through the Red Sea corridor. Meanwhile, Syrian state news agency SANA reported ""barrages of missiles from the direction of the occupied Syrian Golan and Lebanese territories targeted some military sites in the southern and central regions"" of Syria early on Saturday. It said Syria's air defences shot some missiles down, with no information immediately available on casualties. Iran has launched two ballistic missile attacks on Israel in recent months amid the ongoing Israel-Hamas war in the Gaza Strip that began with the Hamas attack on Israel on Oct. 7, 2023. That initial attack killed some 1,200 people and saw 250 others taken hostage back to the seaside enclave. In the time since, more than 42,000 Palestinians have been killed in Gaza, according to Hamas-led local health officials."
Some elderly voters in rural Bulgaria can't reach polling stations,Kristiana Ivanova and Emma De Ruiter,"26/10/2024,15:08 GMT+215:23",Bulgaria,"In the small south-eastern town of Lisitsite, the largely elderly population has no easy way of accessing polling stations for the election on Sunday.","As Bulgarians prepare to vote for a new government on Sunday, residents in rural parts of the country have become disillusioned, and many don't plan to vote at all. In the rural town of Lisitsite, in the country's south, the less than 20 residents are not eager to vote. The town is so remote, many polling stations are hard to reach, and the residents have lost faith in their government to build better infrastructure. ""We have been asking for a road to this place for many years. I am 70 years old, since democracy came not one nail has been driven here, not one,"" says resident Mehmed Ahmed. Nestled in the hills of the Eastern Rhodopes, Lisitsite looks like a dream place to live, but the reality is different. The only way to reach it is by boat or through the neighbouring village of Shiroko Pole, by walking along a railway for nearly three kilometres. From there, the rope bridge leads to the village itself. Many people who live in Lisitsite are elderly, and don't see a point in voting.  ""People are walking with two walking sticks. Most of them are over 80 years old. Two or three years ago they used to go to vote, but now they can't go,"" says Ahmed. In Bulgaria's last election, in June, voter turnout stood at a record low, at just 34%. This Sunday's election is the seventh time people are voting for a new government in just three years. In 2020, mass anti-corruption protests in 2020 toppled a coalition government led by the centre-right GERB party. Since then, a series of elections have led to unstable coalitions led by multiple centrist and right-wing parties. Some observers have labelled the past few years as a period of ""revolving-door governments,"" which has led to considerable apathy amongst voters."
Western and regional leaders call on Iran to show 'restraint' after attack,"Daniel Bellamy
                  with AP","26/10/2024,13:44 GMT+217:50",Europe News,Western and Middle Eastern leaders urged Iran not to engage in escalations after Israel's retaliatory strikes against it early on Saturday.,"Germany's chancellor has responded to Israel's airstrikes on Iran early on Saturday, posting on X: ""My message to Iran is clear: We cannot continue with massive reactions of escalation. This must end now."" In a statement France's foreign ministry urged ""the parties to refrain from any escalation and action likely to aggravate the context of extreme tension prevailing in the region."" British prime minister Keir Starmer urged ""maximum restraint."" Meanwhile, in Washington DC, National Security Council spokesman Sean Savett said the US was urging Iran ""to cease its attacks on Israel so that this cycle of fighting can end without further escalation.” Israel said the airstrikes were a response to the barrage of ballistic missiles the Islamic Republic fired upon it earlier in the month. The Israeli military said its aircraft targeted facilities that Iran used to make missiles fired at Israel as well as surface-to-air missile sites. There was no immediate indication that oil or missile sites were hit — strikes that would have marked a much more serious escalation — and Israel offered no immediate damage assessment. In a statement the EU said: ""The dangerous cycle of attacks and retaliations risks causing a further expansion of the regional conflict."" ""While acknowledging Israel’s right to self-defence, the EU calls on all parties to exercise utmost restraint to avoid an uncontrollable escalation, which is in no one’s interest."" Saudi Arabia was one of multiple countries in the region condemning the strike, calling it a violation of Iran's ""sovereignty and a violation of international laws and norms.” The kingdom’s foreign ministry said it rejected the escalation in the region and “the expansion of the conflict that threatens the security and stability of the countries and people of the region.” The United Arab Emirates ""strongly condemned"" the strikes according to a statement put out by its foreign ministry. Turkey meanwhile accused Israel of having “brought our region to the brink of a greater war” following its strikes on Iran. “Putting an end to the terror created by Israel in the region has become a historic duty in terms of establishing international security and peace,” the Foreign Ministry said in a statement. It also called on the international community to take “immediate action to enforce the law and stop the Netanyahu government.” Iran-backed Hamas called the attack “an escalation targeting the region's security and its people's safety.” But Israel’s opposition leader said the strikes on Iran didn't go far enough. Yair Lapid criticised the decision to avoid “strategic and economic targets"" in the attack. ""We could and should have exacted a much heavier price from Iran,” Lapid wrote on X."
Which European universities and countries file the most patent applications?,Alessio Dell'Anna,"23/10/2024,9:34 GMT+217:06",Europe in Motion,A new study shows a growing contribution of universities to the continent's innovation ecosystem but laments the bloc's fragmentation is crippling the ability to turn high-level scientific research into economic competitiveness.,"A new report by the European Patent Observatory (EPO) shows that patent submissions across the continent are concentrated in just a few places. Half of all direct and indirect patent applications submitted with the European Patent Office between 2000 and 2020 - on a total of over 100,000 - came from only 5% of all European universities. France's University of Grenoble was the most active, with 3,348 submissions, followed by Zurich's ETH (2,219) and Munich's Technical University (2,183). Overall, submissions were the highest in Europe's most industrialised regions, says the report, ""where opportunities for collaboration and technology transfers with industry are greatest."" In terms of countries, Germany submitted the most patent applications (24.09%). France ranks second, (17.97%), followed by the UK, (12.26%), and Italy (6.61%). However, smaller countries like Sweden, Switzerland, Denmark, Belgium, Finland, The Netherlands, and Belgium have the highest number of academic patents per university on average. The most active sectors have been pharmaceuticals (24,944 applications), biotechnology (22,870), measurement (22,870) and analysis of biological materials (8,832). The overall number of applications by European universities has increased steadily in recent decades, from 6.2% of all European patent applications in 2000 to 10.2% in 2019. The report however highlights a fundamental paradox affecting the European economy: Over 20% of patents filed were not exploited commercially. The European advantage in academic research ""has not been necessarily converted into applied technological and economic performance, compared to other advanced economies"" says the document. ""This is what is referred to as the 'European paradox': The difficulties of transforming science into commercialisation in Europe, despite the global leadership of European universities"" - (almost a third of the world's top 100 universities are European, according to the Shanghai Rankings). ""The fact that 10% of startups with European academic patents are headquartered in the US highlights the ongoing difficulties in commercialising new technologies within the EU single market"", researchers say. The biggest issues are market and policy fragmentation, lack of funding in university research and a sort of overall ""anti-risk sentiment"". The diversity of national models in academic patenting poses another challenge, as most knowledge gets only transferred to the local national or regional ecosystem. Mario Draghi's recent report on European competitiveness, as well as Enrico Letta’s on the Single Market's future, argued that such a fragmented ecosystem is to blame for Europe’s struggle in translating innovation into commercialisation. ""Nevertheless, the additional transaction costs tied to multiple national frameworks, and the ability of a few large companies to overcome these barriers by sourcing technology across borders, suggest there is potential for further harmonisation and integration in Europe’s markets for academic inventions."""
Would Donald Trump’s trade tariffs hurt Europe?,Mared Gwyn Jones,"24/10/2024,9:16 GMT+225/10/2024,12:58 GMT+2",EuroVerify,"The EU is increasingly reliant on the US export market, making it vulnerable to the potential shocks of Trump’s trade policy.","Donald Trump has a trade trick up his sleeve that he insists he’s not afraid to use if re-elected in November: a universal tariff of up to 20% on all foreign-imported products. “Outside of love and religion, it's the most beautiful word there is: tariff,” Trump told a North Carolina rally on Monday. A tariff is a tax levied on foreign goods as they enter a country, with the domestic importer expected to foot the bill, at least on paper. Trump has threatened to levy a 60% duty on Chinese products and up to 200% on cars produced in bordering Mexico. The Republican hopeful is counting on the trade tool to propel homegrown US businesses, create jobs and shrink the federal deficit through extra tax revenues. But his critics at home are warning that the economic burden of such tariffs could be passed on to American consumers, while allies abroad — including in Europe — fear the collateral damage of Trump’s tariffs could be devastating. The EU-US trading relationship is the most valuable in the world, worth around €1 trillion in goods and services annually. The EU benefits most from trade in goods, posting a surplus of €156 billion last year alone, against a deficit in services of €104 billion. A blanket tariff of 10% or 20% would make it more expensive for American companies to import EU goods, meaning EU exports across the Atlantic could plunge by as much as a third in some sectors, according to the most radical economic estimates. Sectors such as machinery, vehicles and chemicals — which together made up 68% of EU exports to the US last year — would be hardest hit. It would make Germany, the European bloc’s economic powerhouse, especially vulnerable to shocks, given its reliance on US exports in these sectors. While economists disagree on the extent of the damage, most agree Trump's tariffs would deal a devastating blow to Europe's economy. An across-the-board tariff of 10% would lower the eurozone’s GDP by 1%, according to Goldman Sachs estimates. More radical predictions say Trump's tariffs would make eurozone growth 1.5% lower by 2028. Such a scenario would push the economy — which is already under pressure — to the brink of a recession. Other economists estimate that a 10% tariff could at worst slice off up to 1.6% of Germany’s GDP, while the impact on other major economies such as Spain would be considerably lower at 0.5%. The after-shocks could also include job losses. Transatlantic trade and investment is estimated to directly support around 9.4 million jobs in both the EU and the US, according to European Commission estimates. But the bloc has been reinforcing its trade defence arsenal in recent years, including in response to the steep tariffs imposed by Trump on €6.4 billion in EU steel and aluminium during his first presidency. The trans-Atlantic trade truce that temporarily resolved that Trump-era dispute is due to expire on March 21, 2025, just two months before the next US administration takes office. Trump's vow to slap a 60% tariff on Chinese imported goods poses a real risk the EU could be dragged into an all-out trade war. “A tariff on Chinese goods entering the US would inevitably cause many products to be redirected to the European market,” André Sapir, a senior fellow at Bruegel and former economic advisor to European Commission President Romano Prodi, told Euronews. “The EU would need to respond to that with retaliatory measures. It would need to protect itself.” It could see trade tensions between Brussels and Beijing, which have escalated after an EU decision to impose steep tariffs on China-made electric vehicles, flare up even more. “The EU hasn't been doing what the US has in terms of decoupling from China and reducing imports. This is one of the few things that's been keeping the European economy afloat,” Zach Meyers, assistant director at the Centre for European Reform (CER), explained. “But how long will the US continue to allow Europe to straddle both horses at the same time? I think it’s a difficult question,” he added. The bloc would likely look to strike a deal with Trump before opting for retaliatory tariffs, analysts say. “The EU and others will be keen to offer Trump a carrot, something to give him the facade of saying that he's gotten away with a huge success,” Meyers said. “This is exactly what we saw under the Trump presidency, where you had both the Commission President and Chinese leaders signing these agreements to buy up American goods.” Trump’s own economic advisors could consider limiting his tariff ambitions to avoid potential economic turmoil at home. Economists say the move would inevitably lead to a spike in inflation and that US importing firms could decide to pass on the cost of tariffs to American citizens."
"Rise of mobile payments, transfers, bank cards: How Algeria is transitioning to digital payments",François Chignac,"24/10/2024,15:00 GMT+218:18",World,"In this episode of Algeria Tomorrow, we explore how Algeria is gradually transitioning from cash to digital payments.","Algeria is gradually moving towards a digital payments system. The country saw a 71% increase in digital financial transactions in the first quarter of 2024. The government's push for a modernised financial infrastructure aims to improve efficiency and transparency. However, concerns over data security and public trust remain critical. Algeria's evolving payments landscape represents an important step towards a more connected, cashless economy."
